No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
52,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.81B,-,7.39,-0.67%,5828232
53,ACBAU,Ace Global Business Acquisition Limited,Financial,Shell Companies,Hong Kong,-,-,10.27,0.00%,0
54,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Banks - Regional,USA,479.07M,11.5,24.22,-0.08%,58842
55,ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,USA,7.12B,799.85,51.99,0.12%,653203
56,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,2.97B,-,47.41,-2.19%,189657
57,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,885.75M,12.24,9.71,0.00%,249046
58,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1.07B,43.86,11.71,-1.43%,125805
59,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,38.69M,-,2.67,-1.11%,40006
60,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,70.89,-1.10%,44513
61,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,241.82M,-,7.96,-4.67%,40803
62,ACEV,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,284.63M,-,9.89,0.10%,56009
63,ACEVU,ACE Convergence Acquisition Corp.,Financial,Shell Companies,USA,-,-,10.17,0.00%,1200
64,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,15.48B,7.92,39.43,-0.45%,1970494
65,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,-,5.3,26.36,-0.30%,12131
66,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,18.54B,22.73,18.3,1.16%,146803
67,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,5.96B,37.41,68.16,-0.15%,285498
68,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,257.50M,-,6.46,-2.86%,69118
69,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,77.36M,-,8.4,-0.24%,48420
70,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,15.36B,27.31,33.35,0.82%,1690380
71,ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,USA,625.60M,-,10,0.20%,1985931
72,ACII,Atlas Crest Investment Corp. II,Financial,Shell Companies,USA,420.11M,-,9.7,0.41%,35376
73,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,31.2,-0.10%,102639
74,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,521.82M,-,7.12,-0.14%,1230442
75,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.84B,45.27,33.27,1.12%,1168787
76,ACKIT,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,-,-,10.02,0.16%,9
77,ACKIU,Ackrell SPAC Partners I Co.,Financial,Shell Companies,USA,265.95M,-,10.22,-0.06%,350
78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.57B,28.28,50.06,0.44%,224062
79,ACM,AECOM,Industrials,Engineering & Construction,USA,9.46B,50.58,66.81,0.23%,773434
80,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.90B,69.65,94.58,1.71%,229596
81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,227.15B,38.37,343.33,0.68%,1562049
82,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,246.19M,8.24,28.2,-1.36%,13492
83,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,47.39M,-,4.38,0.69%,45985
84,ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,197.73M,-,11.34,-0.44%,82002
